Corner_num	Lat	Long	Diff Lat	Diff Long
1	-37.8475	144.96591		
2	-37.84677	144.96616	0.00073	0.00025
3	-37.84213	144.9623	0.00464	0.00386
4	-37.84195	144.96346	0.00018	0.00116
5	-37.83989	144.96384	0.00206	0.00038
6	-37.83807	144.96782	0.00182	0.00398
7	-37.83829	144.96873	0.00022	0.00091
8	-37.83894	144.97058	0.00065	0.00185
9	-37.84223	144.97179	0.00329	0.00121
10	-37.84275	144.9713	0.00052	0.00049
11	-37.84809	144.97307	0.00534	0.00177
12	-37.84804	144.97466	5E-05	0.00159
13	-37.85309	144.97855	0.00505	0.00389
14	-37.85382	144.9758	0.00073	0.00275
15	-37.85213	144.97403	0.00169	0.00177
16	-37.85274	144.97269	0.00061	0.00134
