file,timestamp,NGPSLatitude,NGPSLongitude,NGear,nEngine,rThrottlePedal,pBrakeF,gLat,gLong,sLap,vCar,Lap,lat/lng,latlng
1269758114,17:35:10,-37.84828,144.96674,4,13422,0,56,0,-2,299,217.9,1,"-37.84828,144.96674",-37.84828:144.96674
1269758115,17:35:11,-37.84788,144.96623,3,13383,10,1,2,0,352,149,1,"-37.84788,144.96623",-37.84788:144.96623
1269758116,17:35:12,-37.84762,144.96603,3,14145,55,1,1,0,397,139.2,1,"-37.84762,144.96603",-37.84762:144.96603
1269758117,17:35:13,-37.84718,144.96616,3,14584,99,1,-2,1,447,166,1,"-37.84718,144.96616",-37.84718:144.96616
1269758118,17:35:14,-37.84683,144.96617,4,16929,100,1,-2,1,486,193.3,1,"-37.84683,144.96617",-37.84683:144.96617
1269758119,17:35:15,-37.84625,144.96587,5,16273,100,1,-2,1,553,219.4,1,"-37.84625,144.96587",-37.84625:144.96587
1269758120,17:35:16,-37.84574,144.96547,5,17543,100,1,0,1,602,233.6,1,"-37.84574,144.96547",-37.84574:144.96547
1269758121,17:35:18,-37.84504,144.96431,6,17057,100,1,1,0,735,265.5,1,"-37.84504,144.96431",-37.84504:144.96431
1269758123,17:35:20,-37.84399,144.96321,7,16540,100,1,1,0,911,284.3,1,"-37.84399,144.96321",-37.84399:144.96321
1269758125,17:35:21,-37.84328,144.96263,7,12754,0,71,0,-3,995,257.1,1,"-37.84328,144.96263",-37.84328:144.96263
1269758126,17:35:22,-37.8429,144.96249,3,14555,0,43,0,-2,1035,176.9,1,"-37.8429,144.96249",-37.8429:144.96249
1269758127,17:35:23,-37.84241,144.96217,2,10663,0,13,2,-1,1075,108.1,1,"-37.84241,144.96217",-37.84241:144.96217
1269758128,17:35:24,-37.84223,144.96216,2,9934,5,1,2,0,1095,90.8,1,"-37.84223,144.96216",-37.84223:144.96216
1269758129,17:35:25,-37.84211,144.96239,2,12423,52,1,1,1,1123,91.4,1,"-37.84211,144.96239",-37.84211:144.96239
1269758130,17:35:26,-37.84204,144.96265,2,15797,77,1,0,1,1157,115,1,"-37.84204,144.96265",-37.84204:144.96265
1269758131,17:35:28,-37.84189,144.9635,3,13671,16,1,-3,0,1218,146.3,1,"-37.84189,144.9635",-37.84189:144.9635
1269758133,17:35:29,-37.84166,144.96373,3,15531,78,1,-2,1,1279,147.8,1,"-37.84166,144.96373",-37.84166:144.96373
1269758134,17:35:30,-37.84136,144.96379,3,15489,100,1,-1,1,1313,168.1,1,"-37.84136,144.96379",-37.84136:144.96379
